university,store_id,catalog_id,campus,campus_id,term,term_id,department,department_id,course,course_id,section,section_id,scanDate
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,3,3,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,4,4,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,5,5,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,101,101,800,800,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,3,3,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,4,4,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,5,5,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,102,102,6,6,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,1,1,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,2,2,2022-02-05 9:46:58
Ball State University,9301,,Ball State University Official Bookstore,334,SPRING 2022,334_1_22_W,ADS,334_1_27,103,103,3,3,2022-02-05 9:46:58
